route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
088-164,1609-Liberty-Weekday-31,9759-1387638,Outbound-PENN-GARFIELD TO BAKERY SQUARE-5TH & MCPHERSON,0,088 -354,0880071
086-164,1609-Liberty-Weekday-31,9760-1387585,Outbound-LIBERTY WILKINSBURG VIA HOMEWOOD,0,086 -306,0860053
088-164,1609-Liberty-Weekday-31,9761-1387352,Outbound-PENN-GARFIELD TO BAKERY SQUARE-5TH & MCPHERSON,0,086 -310,0880071
086-164,1609-Liberty-Weekday-31,9762-1387600,Outbound-LIBERTY WILKINSBURG VIA HOMEWOOD,0,086 -309,0860053
088-164,1609-Liberty-Weekday-31,9763-1387304,Outbound-PENN-GARFIELD TO BAKERY SQUARE-5TH & MCPHERSON,0,088 -355,0880071
088-164,1609-Liberty-Weekday-31,9764-1387528,Outbound-PENN-GARFIELD TO BAKERY SQUARE-5TH & MCPHERSON,0,088 -356,0880071
086-164,1609-Liberty-Weekday-31,9765-1387522,Outbound-LIBERTY WILKINSBURG VIA HOMEWOOD,0,P1  -382,0860053
088-164,1609-Liberty-Weekday-31,9766-1387581,Outbound-PENN BAKERY SQUARE VIA STRIP DISTRICT,0,P1  -388,0880059
086-164,1609-Liberty-Weekday-31,9767-1387320,Outbound-LIBERTY WILKINSBURG VIA HOMEWOOD,0,086 -308,0860053
088-164,1609-Liberty-Weekday-31,9768-1387549,Outbound-PENN BAKERY SQUARE VIA STRIP DISTRICT,0,P1  -390,0880059
088-164,1609-Liberty-Weekday-31,9769-1387363,Outbound-PENN-GARFIELD TO BAKERY SQUARE-5TH & MCPHERSON,0,088 -357,0880071
086-164,1609-Liberty-Weekday-31,9770-1387541,Outbound-LIBERTY WILKINSBURG VIA HOMEWOOD,0,086 -307,0860053
088-164,1609-Liberty-Weekday-31,9771-1387329,Outbound-PENN-GARFIELD TO BAKERY SQUARE-5TH & MCPHERSON,0,071C-168,0880071
086-164,1609-Liberty-Weekday-31,9772-1387614,Outbound-LIBERTY WILKINSBURG VIA HOMEWOOD,0,086 -311,0860053
088-164,1609-Liberty-Weekday-31,9773-1387529,Outbound-PENN-GARFIELD TO BAKERY SQUARE-5TH & MCPHERSON,0,088 -358,0880071
088-164,1609-Liberty-Weekday-31,9774-1387399,Outbound-PENN-GARFIELD TO BAKERY SQUARE-5TH & MCPHERSON,0,028X-015,0880071
086-164,1609-Liberty-Weekday-31,9775-1387456,Outbound-LIBERTY WILKINSBURG VIA HOMEWOOD,0,086 -313,0860053
088-164,1609-Liberty-Weekday-31,9776-1387545,Outbound-PENN-GARFIELD TO BAKERY SQUARE-5TH & MCPHERSON,0,071D-205,0880071
086-164,1609-Liberty-Weekday-31,9777-1387352,Outbound-LIBERTY WILKINSBURG VIA HOMEWOOD,0,086 -310,0860053
088-164,1609-Liberty-Weekday-31,9778-1387294,Outbound-PENN-GARFIELD TO BAKERY SQUARE-5TH & MCPHERSON,0,P1  -386,0880071
088-164,1609-Liberty-Weekday-31,9779-1387516,Outbound-PENN BAKERY SQUARE VIA STRIP DISTRICT,0,088 -359,0880059
086-164,1609-Liberty-Weekday-31,9780-1387356,Outbound-LIBERTY WILKINSBURG VIA HOMEWOOD,0,086 -312,0860053
088-164,1609-Liberty-Weekday-31,9781-1387623,Outbound-PENN-GARFIELD TO BAKERY SQUARE-5TH & MCPHERSON,0,088 -360,0880071
086-164,1609-Liberty-Weekday-31,9782-1387358,Outbound-LIBERTY WILKINSBURG VIA HOMEWOOD,0,086 -314,0860053
088-164,1609-Liberty-Weekday-31,9783-1387432,Outbound-PENN-GARFIELD TO BAKERY SQUARE-5TH & MCPHERSON,0,088 -361,0880071
088-164,1609-Liberty-Weekday-31,9784-1387560,Outbound-PENN-GARFIELD TO BAKERY SQUARE-5TH & MCPHERSON,0,088 -362,0880071
086-164,1609-Liberty-Weekday-31,9785-1387508,Outbound-LIBERTY WILKINSBURG VIA HOMEWOOD,0,086 -315,0860053
088-164,1609-Liberty-Weekday-31,9786-1387516,Outbound-PENN BAKERY SQUARE VIA STRIP DISTRICT,0,088 -359,0880059
086-164,1609-Liberty-Weekday-31,9787-1387539,Outbound-LIBERTY WILKINSBURG VIA HOMEWOOD,0,086 -316,0860053
088-164,1609-Liberty-Weekday-31,9788-1387363,Outbound-PENN-GARFIELD TO BAKERY SQUARE-5TH & MCPHERSON,0,088 -357,0880071
086-164,1609-Liberty-Weekday-31,9789-1387329,Outbound-LIBERTY WILKINSBURG VIA HOMEWOOD,0,071C-168,0860053
088-164,1609-Liberty-Weekday-31,9790-1387218,Outbound-PENN-GARFIELD TO BAKERY SQUARE-5TH & MCPHERSON,0,077 -259,0880071
086-164,1609-Liberty-Weekday-31,9791-1387609,Outbound-LIBERTY WILKINSBURG VIA HOMEWOOD,0,071D-211,0860053
088-164,1609-Liberty-Weekday-31,9792-1387516,Outbound-PENN-GARFIELD TO BAKERY SQUARE-5TH & MCPHERSON,0,088 -359,0880071
086-164,1609-Liberty-Weekday-31,9793-1387421,Outbound-LIBERTY WILKINSBURG VIA HOMEWOOD,0,086 -317,0860053
